# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=7345
# chain_id=3
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./stan_example.samples_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape2.1,shape2.2,shape2.3,stretch.1,stretch.2,stretch.3,min_max.1.1,min_max.2.1,min_max.3.1,min_max.1.2,min_max.2.2,min_max.3.2,nu.1,nu.2,nu.3,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_max.1,x_max.2,x_max.3
-1755.49,1,0.015625,1,1,0,3260.11,3.91129,2.9997,3.71714,2.17826,2.41264,4.21452,5.33877,0.308357,6.68214,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477,0.995431,1.8893,1.52985,-1.53937,-0.504942,-1.28845,-0.0853818,-0.962797,0.160661,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477
-1755.49,0,10.9517,0,1,1,1772.37,3.91129,2.9997,3.71714,2.17826,2.41264,4.21452,5.33877,0.308357,6.68214,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477,0.995431,1.8893,1.52985,-1.53937,-0.504942,-1.28845,-0.0853818,-0.962797,0.160661,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477
-1755.49,0,1.19873,0,1,1,1767.89,3.91129,2.9997,3.71714,2.17826,2.41264,4.21452,5.33877,0.308357,6.68214,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477,0.995431,1.8893,1.52985,-1.53937,-0.504942,-1.28845,-0.0853818,-0.962797,0.160661,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477
-1755.49,2.91379e-308,0.0722879,3,12,1,1767.47,3.91129,2.9997,3.71714,2.17826,2.41264,4.21452,5.33877,0.308357,6.68214,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477,0.995431,1.8893,1.52985,-1.53937,-0.504942,-1.28845,-0.0853818,-0.962797,0.160661,0.696268,1.11062,-0.450748,0.935507,1.32818,-0.1477
-1502.94,1,0.00335463,3,7,0,1765.52,3.88919,3.02142,3.69001,2.17917,2.40902,4.18202,5.39133,0.311782,6.70705,0.706897,1.12406,-0.418896,0.947286,1.34313,-0.118771,0.956577,1.62772,1.42303,-1.54291,-0.506571,-1.29023,-0.0943596,-0.937864,0.161379,0.706897,1.12406,-0.418896,0.947286,1.34313,-0.118771
-1363.51,1,0.00274951,3,7,0,1512.64,3.86975,3.00137,3.71264,2.18068,2.4182,4.17757,5.34667,0.314644,6.62504,0.717446,1.11869,-0.409123,0.953347,1.34122,-0.106008,0.919361,1.47951,1.34835,-1.55259,-0.516449,-1.31962,-0.10961,-0.947461,0.16176,0.717446,1.11869,-0.409123,0.953347,1.34122,-0.106008
-1119.38,1,0.00256848,4,15,0,1378.2,3.90844,2.98897,3.72788,2.18117,2.41671,4.10903,5.32716,0.304424,6.53239,0.713661,1.16304,-0.358103,0.955887,1.40043,-0.0485547,0.836653,1.18867,1.19216,-1.54074,-0.466588,-1.32953,-0.130753,-0.9797,0.167868,0.713661,1.16304,-0.358103,0.955887,1.40043,-0.0485547
-987.161,0.99027,0.00261646,4,15,0,1133.62,3.87315,3.04683,3.72137,2.18208,2.41631,4.08213,5.14857,0.304818,6.65662,0.662065,1.16102,-0.393381,0.906532,1.4023,-0.0838917,0.749503,1.04617,1.06803,-1.48613,-0.499513,-1.34801,-0.167828,-0.948031,0.167603,0.662065,1.16102,-0.393381,0.906532,1.4023,-0.0838917
-985.889,0.183878,0.00274218,4,15,0,995.054,3.8755,3.04399,3.7134,2.18208,2.41578,4.08639,5.15027,0.30476,6.67174,0.658143,1.16151,-0.390546,0.902893,1.4033,-0.082451,0.751306,1.04527,1.06568,-1.48793,-0.500888,-1.34837,-0.170149,-0.945238,0.167625,0.658143,1.16151,-0.390546,0.902893,1.4033,-0.082451
-808.501,0.993077,0.000234513,8,255,0,995.677,3.76927,3.06291,3.67283,2.17727,2.43152,4.18075,4.8546,0.299204,6.51387,0.637024,1.19423,-0.365147,0.895618,1.43343,-0.0702851,0.625923,0.785975,0.869508,-1.47142,-0.459789,-1.31586,-0.20887,-0.953002,0.176101,0.637024,1.19423,-0.365147,0.895618,1.43343,-0.0702851
-773.216,0.996552,0.00026479,8,255,0,820.243,3.82935,3.08618,3.6061,2.17265,2.43603,4.19107,4.60601,0.301557,6.40566,0.618344,1.20121,-0.357507,0.892233,1.44037,-0.0658238,0.603725,0.707715,0.839294,-1.48054,-0.442972,-1.32693,-0.241985,-0.923235,0.184001,0.618344,1.20121,-0.357507,0.892233,1.44037,-0.0658238
-646.116,0.997491,0.000310423,9,511,0,788.558,3.88914,3.23771,3.38974,2.17888,2.43236,4.5859,4.38431,0.333211,5.47343,0.536841,1.19101,-0.342761,0.873438,1.41655,-0.0606794,0.291469,0.32349,0.388504,-1.3826,-0.324379,-1.01129,-0.277141,-1.04398,0.272723,0.536841,1.19101,-0.342761,0.873438,1.41655,-0.0606794
-612.2,0.999814,0.000371942,10,1023,0,656.821,3.6195,3.25956,3.38612,2.19696,2.39883,3.96023,4.38712,0.364483,3.75151,0.505062,1.35832,-0.219239,0.861795,1.53869,0.0941741,0.345585,0.4167,0.39557,-1.07127,-0.434538,-0.911155,-0.198212,-0.780424,0.428251,0.505062,1.35832,-0.219239,0.861795,1.53869,0.0941741
-542.377,0.999997,0.000454868,10,1023,0,620.843,3.25822,3.73953,2.95984,2.20186,2.46367,3.88942,1.69258,0.473844,1.38095,0.453865,1.40988,-0.232246,0.843042,1.57788,0.133399,0.294283,0.376129,0.536437,-0.66568,0.146715,-0.959065,-0.40607,0.00121877,1.36227,0.453865,1.40988,-0.232246,0.843042,1.57788,0.133399
-514.321,0.949451,0.000561603,10,1023,0,552.86,3.05232,3.59725,2.81806,2.1679,2.3456,3.61991,1.38269,0.653373,1.45052,0.316353,1.27469,-0.19556,0.704234,1.42229,0.1017,0.337371,0.366683,0.436104,-0.158698,0.561575,-0.526747,-0.572599,0.00602813,2.12255,0.316353,1.27469,-0.19556,0.704234,1.42229,0.1017
-483.49,0.968967,0.000596338,10,1023,0,529.676,3.56621,2.93936,2.49694,2.12444,2.21685,3.2581,0.579337,0.601881,1.46102,0.0490925,1.24311,-0.365522,0.622747,1.45474,0.0747693,0.290626,0.425526,0.490778,0.710783,0.833025,-0.286798,-0.2274,0.0745402,6.82958,0.0490925,1.24311,-0.365522,0.622747,1.45474,0.0747693
