# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=7345
# chain_id=2
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./stan_example.samples_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape2.1,shape2.2,shape2.3,stretch.1,stretch.2,stretch.3,min_max.1.1,min_max.2.1,min_max.3.1,min_max.1.2,min_max.2.2,min_max.3.2,nu.1,nu.2,nu.3,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_max.1,x_max.2,x_max.3
-1789.45,0.666667,0.015625,2,3,0,3239.94,6.26674,2.32728,2.77656,3.23947,4.10208,2.41735,3.48058,4.14755,2.25976,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165,0.534716,1.67308,4.21192,0.463454,-0.108829,0.96622,0.767863,0.113492,4.32026,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165
-1789.45,0,5.9741,0,1,1,1806.07,6.26674,2.32728,2.77656,3.23947,4.10208,2.41735,3.48058,4.14755,2.25976,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165,0.534716,1.67308,4.21192,0.463454,-0.108829,0.96622,0.767863,0.113492,4.32026,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165
-1789.45,0,0.546397,0,1,1,1798.72,6.26674,2.32728,2.77656,3.23947,4.10208,2.41735,3.48058,4.14755,2.25976,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165,0.534716,1.67308,4.21192,0.463454,-0.108829,0.96622,0.767863,0.113492,4.32026,1.9162,0.222867,-1.55711,3.07228,0.783661,2.00165
-810.081,0.714286,0.029738,3,7,0,1599.06,6.08668,2.33299,2.75122,3.23448,4.18052,2.4247,3.68736,4.3307,2.19707,1.87684,0.262745,-1.7069,3.06138,0.825324,1.53699,0.505788,1.00056,1.95453,0.511837,-0.129867,0.985947,0.79612,0.103816,4.27681,1.87684,0.262745,-1.7069,3.06138,0.825324,1.53699
-676.588,1,0.00996198,3,7,0,819.495,6.00166,2.32348,2.72087,3.25826,4.09936,2.40368,3.91447,4.1927,2.21252,1.91346,0.260271,-1.83854,3.17495,0.85755,1.40518,0.46158,0.816164,1.56392,0.551261,-0.149623,1.03233,0.8385,0.100534,4.36336,1.91346,0.260271,-1.83854,3.17495,0.85755,1.40518
-643.32,0.897207,0.0085609,4,15,0,692.533,6.05251,2.32776,2.67278,3.22201,4.1397,2.41197,3.85429,4.08549,2.23292,1.91872,0.292063,-1.83878,3.14023,0.895029,1.57249,0.432371,0.759045,1.42418,0.585617,-0.196936,1.01026,0.877882,0.0768953,4.33183,1.91872,0.292063,-1.83878,3.14023,0.895029,1.57249
-599.086,0.409478,0.00601947,6,63,0,657.058,5.75518,2.33316,2.64113,3.25861,4.11584,2.4166,3.48582,3.92716,2.22194,1.8624,0.240172,-1.82184,3.12268,0.87128,1.60876,0.400077,0.638514,1.25761,0.566814,-0.0805384,0.973784,0.876631,0.0873883,4.38794,1.8624,0.240172,-1.82184,3.12268,0.87128,1.60876
-530.829,1,0.000989601,8,255,0,610.884,4.46934,2.27551,2.51994,3.03813,3.74141,2.42279,3.30441,2.96365,1.60032,1.96474,0.184798,-1.979,3.36902,0.801833,1.50831,0.290574,0.323405,0.617938,0.949312,0.235134,1.22976,0.770753,0.0627172,5.43213,1.96474,0.184798,-1.979,3.36902,0.801833,1.50831
-469.146,0.984574,0.00105936,10,1023,0,545.92,3.65011,2.04962,3.08913,2.8938,2.96271,2.20016,0.742714,0.883888,0.161594,2.65717,0.56812,-1.8915,5.46377,1.36632,3.43613,0.25176,0.353698,0.496889,2.55766,1.75872,1.42521,0.19209,2.42388,5.45476,2.65717,0.56812,-1.8915,5.46377,1.36632,3.43613
-454.652,0.996136,0.00113042,10,1023,0,480.213,4.65144,2.04567,3.47106,3.31636,3.20125,2.37684,1.20108,0.799096,0.389238,2.42389,0.402178,-2.34871,4.30413,1.12764,2.77641,0.252788,0.340076,0.643706,2.47797,2.43343,1.31756,-0.957923,3.98076,6.46733,2.42389,0.402178,-2.34871,4.30413,1.12764,2.77641
