# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=7345
# chain_id=4
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./stan_example.samples_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape2.1,shape2.2,shape2.3,stretch.1,stretch.2,stretch.3,min_max.1.1,min_max.2.1,min_max.3.1,min_max.1.2,min_max.2.2,min_max.3.2,nu.1,nu.2,nu.3,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_max.1,x_max.2,x_max.3
-1120.37,1,0.015625,2,3,0,3622.79,5.50261,2.17697,4.93039,3.21631,3.77016,6.39319,0.307657,1.12514,7.61149,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171,0.607959,0.658254,2.21836,1.39388,-0.8803,0.223323,1.55667,1.50778,1.2239,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171
-1120.37,0,10.9517,0,1,1,1132.42,5.50261,2.17697,4.93039,3.21631,3.77016,6.39319,0.307657,1.12514,7.61149,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171,0.607959,0.658254,2.21836,1.39388,-0.8803,0.223323,1.55667,1.50778,1.2239,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171
-1120.37,0,1.19873,0,1,1,1137.52,5.50261,2.17697,4.93039,3.21631,3.77016,6.39319,0.307657,1.12514,7.61149,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171,0.607959,0.658254,2.21836,1.39388,-0.8803,0.223323,1.55667,1.50778,1.2239,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171
-1120.37,3.54364e-95,0.0722879,3,7,0,1131.7,5.50261,2.17697,4.93039,3.21631,3.77016,6.39319,0.307657,1.12514,7.61149,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171,0.607959,0.658254,2.21836,1.39388,-0.8803,0.223323,1.55667,1.50778,1.2239,0.294048,-1.17397,0.32503,0.616211,-0.361712,3.53171
-950.276,1,0.00335463,3,7,0,1129.69,5.6217,2.17828,4.76031,3.1892,3.77982,6.4876,0.306271,1.1189,7.59079,0.268781,-1.16326,0.300227,0.587294,-0.358298,3.41565,0.583585,0.628381,1.86424,1.4191,-0.860826,0.246228,1.57069,1.51746,1.24922,0.268781,-1.16326,0.300227,0.587294,-0.358298,3.41565
-698.522,1,0.00274951,5,31,0,956.378,5.48861,2.18339,4.6756,3.2406,3.67577,6.23944,0.314631,1.08948,6.5482,0.276967,-1.20322,0.18625,0.591349,-0.348138,2.9658,0.505859,0.598172,1.10814,1.45247,-0.863115,0.2395,1.5779,1.50734,1.28525,0.276967,-1.20322,0.18625,0.591349,-0.348138,2.9658
-586.742,0.999966,0.00256848,6,63,0,707.983,5.40849,2.17437,4.36567,3.0638,3.75135,5.81508,0.33476,0.966336,4.49175,0.270564,-1.19303,0.00635247,0.554033,-0.293124,2.10463,0.324409,0.496707,0.543522,1.55752,-0.93906,0.383508,1.62981,1.48387,1.50741,0.270564,-1.19303,0.00635247,0.554033,-0.293124,2.10463
-499.69,0.986953,0.00261618,8,255,0,598.049,3.27288,2.29133,3.30643,2.40639,2.93477,2.80674,0.233378,0.774779,0.349932,0.879439,-1.14807,-0.764459,1.13354,-0.632461,-0.401727,0.308241,0.42976,0.407435,1.85716,0.575006,-0.360745,0.081117,1.41971,12,0.879439,-1.14807,-0.764459,1.13354,-0.632461,-0.401727
-488.604,0.999167,0.00271345,8,255,0,507.539,3.27222,2.22978,3.13989,2.50559,2.68732,2.90573,0.178423,0.860664,0.370588,0.947061,-1.20043,-0.278334,1.19361,-0.674628,0.469709,0.304466,0.416114,0.538965,2.22463,0.577446,0.245671,0.179457,1.57071,2.0747,0.947061,-1.20043,-0.278334,1.19361,-0.674628,0.469709
-482.609,0.988446,0.00304583,9,511,0,498.336,3.34939,2.32199,3.76847,2.97255,2.81673,3.88195,0.218066,0.879463,0.243857,1.01574,-1.21246,0.142641,1.41307,-0.550395,0.87714,0.305415,0.392418,0.460492,2.41905,1.04067,1.03725,-0.376141,1.2051,10.9558,1.01574,-1.21246,0.142641,1.41307,-0.550395,0.87714
-450.363,0.981171,0.00340115,10,1023,0,494.108,3.54405,4.74792,3.472,3.96622,3.02061,2.63182,0.433069,0.228503,0.271347,0.913236,-1.14893,-0.216483,1.88319,1.25051,2.4729,0.358659,0.468522,0.501047,3.42024,3.34124,0.742386,-1.4026,2.31966,9.66747,0.913236,-1.14893,-0.216483,1.88319,1.25051,2.4729
-318.816,0.968101,0.00378722,9,1023,0,457.374,2.34887,2.01525,2.11204,3.08371,2.61412,2.70212,0.416266,1.52573,2.15114,-5.02183,-3.69708,-4.08967,5.49616,3.28591,3.88846,1.06693,2.90011,27.2388,1.79955,2.33754,0.721849,-4.75714,4.85045,0.302513,-5.02183,-3.69708,-4.08967,5.49616,3.28591,3.88846
-268.206,0.981797,0.00410559,5,31,0,328.387,2.34608,2.01604,2.11086,3.14007,2.64837,2.72249,0.428316,1.39776,2.1012,-4.98653,-3.69041,-4.29726,6.46698,2.50036,5.31794,1.05575,3.08291,24.9643,1.91269,2.30978,0.671244,-4.73312,4.80727,0.294437,-4.98653,-3.69041,-4.29726,6.46698,2.50036,5.31794
-263.1,0.730979,0.00469506,7,127,0,278.132,2.37418,2.01634,2.10791,3.03348,2.62638,2.76299,0.413009,1.29404,1.82085,-4.96059,-3.64495,-4.24215,7.0656,2.8099,4.27123,1.01753,3.20826,23.5686,1.98316,2.31467,0.619477,-4.68792,4.82862,0.333688,-4.96059,-3.64495,-4.24215,7.0656,2.8099,4.27123
-189.599,0.900589,0.0024736,8,255,0,275.184,2.85193,2.00854,2.1578,3.02878,2.55497,2.96041,0.947222,2.38834,1.8443,-4.79782,-4.64256,-4.22182,5.43765,2.66278,4.48006,2.32484,17.2031,18.0171,2.54869,2.50917,0.530088,-4.87735,4.755,1.33008,-4.79782,-4.64256,-4.22182,5.43765,2.66278,4.48006
-118.993,0.946686,0.00223657,8,255,0,200.542,3.01711,2.01592,2.24122,3.51172,2.31567,3.09824,1.85449,1.85143,1.83145,-4.71291,-4.07072,-4.48175,5.8893,2.49282,5.22158,7.11419,6.45567,24.489,2.50314,2.45434,1.0554,-5.0407,4.47792,0.583086,-4.71291,-4.07072,-4.48175,5.8893,2.49282,5.22158
-90.2109,0.998427,0.00234662,8,255,0,130.5,3.0821,2.01357,2.31185,3.79069,2.27057,3.41642,2.00604,1.94123,1.77498,-4.98683,-4.30751,-4.52471,5.97522,2.53395,5.03506,13.2255,8.97548,30.4711,2.45563,2.4149,1.33922,-5.22828,4.53466,0.468661,-4.98683,-4.30751,-4.52471,5.97522,2.53395,5.03506
-73.9789,0.791452,0.00289425,9,639,0,100.687,3.83499,2.07374,2.30642,2.56234,2.14619,2.79684,2.5828,2.04155,1.85265,-5.74269,-4.61718,-4.5696,4.16535,2.47905,4.55934,21.2892,20.1462,34.0875,2.36599,2.15013,2.97216,-5.62561,3.96971,0.375476,-5.74269,-4.61718,-4.5696,4.16535,2.47905,4.55934
-64.8123,0.820688,0.00190687,8,497,0,87.5508,3.87839,2.07726,2.27559,2.5026,2.14735,2.88759,2.55373,2.36059,1.87976,-5.78246,-4.45836,-4.52634,4.07776,2.37193,4.71833,22.7699,18.9292,34.0743,2.43391,2.19178,3.00916,-5.71931,4.07783,0.37298,-5.78246,-4.45836,-4.52634,4.07776,2.37193,4.71833
-63.1613,0.964097,0.00138468,9,957,0,74.952,3.9811,2.05774,2.51342,2.4062,2.12455,2.58747,2.46627,2.39155,2.00099,-5.94821,-4.47839,-4.7777,4.00185,2.36201,4.03608,17.0025,18.2459,35.9956,2.52279,2.71021,2.06094,-5.10691,3.49511,0.378609,-5.94821,-4.47839,-4.7777,4.00185,2.36201,4.03608
-53.9585,0.972191,0.00155355,9,611,0,75.0093,3.84725,2.18912,2.26845,2.51068,2.07806,2.90115,2.32323,2.24009,1.87565,-5.84351,-4.56992,-4.52151,4.19676,2.3034,4.70256,17.8223,19.3062,25.6065,2.32249,2.88772,1.72202,-5.13757,2.99232,0.51353,-5.84351,-4.56992,-4.52151,4.19676,2.3034,4.70256
-44.047,0.94298,0.00178508,8,355,1,58.8541,4.03591,2.22486,2.36036,2.51404,2.05686,3.0073,2.70248,2.30119,1.89823,-5.68223,-4.57256,-4.59045,3.90335,2.25983,4.60387,18.5822,21.2905,35.119,2.36346,2.83389,1.78556,-5.10743,3.2603,0.318053,-5.68223,-4.57256,-4.59045,3.90335,2.25983,4.60387
-42.8299,0.938668,0.00188106,8,289,1,56.2559,3.90234,2.35414,2.33523,2.42353,2.05567,3.27389,2.36043,2.40758,1.80308,-5.7935,-4.64053,-4.58837,4.06777,2.23596,4.86954,18.2209,25.3646,29.2316,2.26916,2.76122,1.22045,-4.85148,3.08258,0.283511,-5.7935,-4.64053,-4.58837,4.06777,2.23596,4.86954
-42.089,0.869696,0.00195795,7,223,1,55.8252,3.87726,2.37066,2.3972,2.5283,2.05557,3.19323,2.58299,2.2273,1.81662,-5.86421,-4.72796,-4.61114,4.32945,2.24024,4.9088,16.6731,25.8233,33.7189,2.11617,2.78783,1.22797,-4.78337,3.1384,0.281631,-5.86421,-4.72796,-4.61114,4.32945,2.24024,4.9088
-32.0934,0.842357,0.00167091,8,309,1,53.2419,3.70417,2.56495,2.36999,2.53531,2.06422,3.22508,2.438,2.18088,1.82212,-5.49902,-4.88273,-4.60535,4.19049,2.24533,4.9901,16.5738,23.4616,37.8083,2.13614,2.76256,1.31278,-4.94158,3.39063,0.260031,-5.49902,-4.88273,-4.60535,4.19049,2.24533,4.9901
-32.1646,0.876932,0.00132325,8,391,0,43.6447,3.62819,2.46182,2.35196,2.55198,2.07205,3.2702,2.50368,2.27485,1.81207,-5.49213,-4.86165,-4.57714,4.44852,2.23766,5.03726,16.6299,24.5473,35.4921,2.21952,2.81477,1.18409,-4.96651,3.31118,0.278535,-5.49213,-4.86165,-4.57714,4.44852,2.23766,5.03726
-30.3277,0.98401,0.00116093,10,1023,0,45.7071,3.18365,2.57804,2.35299,2.6028,2.0874,3.88616,2.59724,2.30499,1.71789,-4.849,-4.95777,-4.5856,4.63538,2.24628,5.61164,19.753,37.8025,29.5855,2.82134,2.56877,2.35525,-5.98227,5.56488,0.331983,-4.849,-4.95777,-4.5856,4.63538,2.24628,5.61164
